Date	Event	Score	Of	Location	Notes
2023-06-03	June Shoot	632	924	Nevada County Sportsmen	I shot the long stakes (same as compound bows), including 92 yards for the polar bear whereas stakes for barebow recurve was not meant to exceed 50 yards, so my scores are not comparable to others' in the BB-R division.
2022-11	Turkey Shoot	369	616	Nevada County Sportsmen
2022-10	Bug Shoot	760	924	San Francisco Archers
2022-08	1 Million B.C.	965	1386	San Francisco Archers	Long stakes
2018-08	1 Million B.C.	909	1386	San Francisco Archers
